10169;12;1.55
10283;6;2.05
10286;12;2.05
10282;12;2.05
10285;12;1.55
10353;12;1.67
10348;12;2.12
10349;12;2.12
10347;12;2.12
10352;12;1.83
10306;12;1.9
10304;12;2.21
10303;12;2.31
10303;12;2.21
10287;12;2.04
10308;6;2.78
10321;6;2.17
10172;6;1.63
10174;6;1.63
10355;6;2.37
10354;6;2.21
10360;24;1.55
10356;6;2.37
10359;6;2.51
10361;6;2.83
10358;6;2.67
10363;12;1.37
10362;6;2.37
10253;40;0.41
10248;40;0.41
10279;60;0.38
10345;6;2.63
10330;6;1.7
10329;6;1.7
10331;6;1.7
10332;6;1.7
10334;12;1.7
10126;24;1.78
10128;12;1.63
10129;12;1.63
10131;12;1.63
10132;12;1.63
10133;6;1.29
10134;6;1.29
10135;6;1.29
10136;6;1.67
10245;12;1.35
10247;12;1.13
10298;6;1.09
10265;6;1.09
10296;6;1.09
10262;12;1.09
10150;12;1.13
10256;12;2.01
10260;12;1.56
