6470	2	16.34
6475	4	23.15
6477	2	23.15
2561	1	6.90
4821	16	5.81
2310	3	18.50
4180	3	11.62
2313	18	15.49
2768	4	18.50
5963	8	6.18
6400	4	6.18
2089	12	6.58
737	60	12.45
2553	12	11.74
3025	48	2.28
4710	4	9.33
3043	12	11.67
4891	2	14.05
3028	12	6.36
4674	12	15.26
3031	6	16.12
80	72	3.78
2517	18	3.70
2986	24	3.70
2521	30	3.47
2522	18	3.47
5124	60	3.26
3642	24	3.47
2549	4	14.72
2154	3	11.61
2153	3	11.61
1621	1	9.08
1624	1	25.21
2782	6	3.45
2560	6	3.20
2449	6	2.99
3378	2	20.19
410	2	19.67
1433	1	7.14
1436	12	7.43
1628	3	4.80
3819	6	12.10
3820	3	12.10
2290	4	16.48
3267	12	13.87
2292	5	3.46
3078	3	10.80
3273	1	2.43
3274	2	2.43
2080	72	5.59
5031	24	7.09
91	24	12.53
1240	2	30.44
6105	10	12.20
4064	8	7.75
5061	2	9.94
5062	2	13.80
5063	2	13.80
4091	8	11.15
2813	20	20.74
4349	20	51.46
2660	12	25.25
5045	2	14.01
6490	3	10.86
6491	3	10.86
306	4	5.24
313	8	3.00
312	15	2.73
3473	12	7.88
5067	12	15.76
5068	30	15.76
1783	18	15.46
5417	12	18.90
2362	12	26.12
1720	12	26.12
1719	12	26.12
6649	24	10.07
6652	24	17.39
6650	24	10.07
6651	24	17.39
4055	24	19.84
2741	24	19.84
3004	24	19.84
2899	24	19.84
2742	24	19.84
4056	24	19.84
6159	6	8.22
3130	6	16.82
4575	3	3.20
858	72	8.16
2349	1	14.84
3831	3	15.49
1649	2	19.82
1365	2	20.67
6495	6	15.80
6497	6	19.91
2156	2	3.43
109	16	12.11
360	5	22.93
554	20	21.07
1329	8	21.50
724	6	25.29
5998	48	28.99
6583	2	19.13
3321	1	16.57
2064	1	16.57
1619	4	26.39
767	48	7.46
1655	3	22.99
425	1	7.14
1451	3	18.06
1028	16	9.12
2820	2	17.63
2417	2	12.90
1111	8	4.12
3107	5	3.85
6165	10	6.75
434	2	3.38
431	8	4.91
880	12	8.60
3285	4	8.49
3293	14	7.65
3287	4	7.65
2160	8	5.58
436	6	7.16
2162	8	5.76
1898	2	6.96
1734	5	2.93
377	5	2.29
6227	6	6.36
2645	3	2.98
2454	5	2.77
443	2	8.04
442	8	8.75
437	3	11.11
441	3	7.54
3861	1	6.83
5471	2	12.18
2852	12	11.18
2853	3	5.69
776	20	10.25
2353	72	14.02
5479	4	3.59
5483	2	3.04
5485	6	2.53
5488	5	7.80
1348	36	3.59
2878	6	2.39
1415	24	5.83
3972	12	6.23
2856	24	10.34
6498	24	4.11
5494	5	7.67
5094	24	3.59
2166	24	4.11
4388	24	3.84
1352	8	4.11
392	6	3.06
1455	8	16.86
6003	8	9.02
777	4	7.31
5502	4	3.84
5503	12	6.74
5504	24	4.11
446	7	7.32
2894	4	5.59
396	12	4.37
5096	24	5.34
4069	12	2.79
5097	36	2.39
5421	18	4.37
3945	24	7.31
1354	8	7.80
4610	3	12.18
65	24	13.28
6032	60	2.86
6035	12	3.08
6038	36	3.66
6037	36	3.08
6359	36	8.54
2964	24	8.01
3392	6	8.01
4611	24	4.08
444	6	1.93
1670	24	8.33
1896	60	11.60
4578	12	6.05
6413	24	2.15
6415	14	3.86
6416	8	3.06
1356	24	4.64
2633	4	42.67
2352	8	42.67
4614	12	5.69
820	5	22.68
2326	5	28.71
4050	3	15.17
5954	8	15.90
2803	12	18.16
3487	4	8.90
5280	18	14.95
3396	24	14.95
4396	1	22.47
5081	16	16.12
6417	1	4.86
3289	48	14.88
5440	4	15.69
6341	6	14.27
6461	12	14.56
4245	36	14.56
4247	36	14.56
4243	12	14.56
4249	12	14.56
4251	12	14.56
4099	24	14.56
4096	48	14.56
4100	24	14.56
4101	16	14.56
4098	24	14.56
4097	24	14.56
5631	3	15.38
3165	3	14.65
6500	12	17.13
2173	20	16.02
4253	1	6.34
3148	6	3.35
3149	18	19.24
3162	4	12.85
5508	1	8.80
3108	3	20.76
2574	8	13.03
3112	6	17.20
5507	1	10.09
3113	3	10.70
3114	3	17.41
844	6	4.78
5647	2	8.97
3176	1	15.84
2343	2	15.84
3000	2	14.89
6342	1	14.89
2840	3	14.89
2842	1	14.89
2728	1	12.45
2727	2	12.45
5640	3	5.00
6156	8	7.51
1631	5	7.91
5635	1	11.20
1432	7	5.55
5248	1	5.04
460	6	5.77
465	4	7.75
4166	24	5.85
1762	6	16.97
331	360	19.88
121	96	15.63
1752	48	16.21
120	48	20.60
4580	12	17.35
2892	24	17.35
302	60	19.14
545	6	9.81
1342	8	29.56
6570	4	32.05
4598	6	10.14
925	6	10.14
926	4	10.14
4291	12	4.08
251	12	10.44
2638	1	16.24
922	8	18.28
2529	8	18.28
328	12	5.61
1167	12	4.50
1117	6	16.84
551	18	12.14
329	6	4.08
325	12	6.72
479	33	17.99
549	24	7.39
4592	10	6.18
1266	24	5.87
1532	6	13.07
2872	2	45.15
6426	6	23.98
2875	2	45.15
6172	6	15.30
6173	6	15.30
3520	6	18.93
3164	1	4.46
2904	2	19.23
2905	2	19.23
3015	1	29.04
